freq_uHz,snr
700.00119,0.39612
700.00912,0.76160
700.01705,0.04506
700.02498,0.69991
700.03291,3.93308
700.04084,0.33866
700.04877,0.33469
700.05670,1.63409
700.06463,0.18587
700.07256,1.57588
700.08049,0.29387
700.08842,0.54996
700.09635,0.06235
700.10428,0.64506
700.11221,0.14264
700.12014,0.57062
700.12807,0.93982
700.13600,0.51548
700.14393,0.27935
700.15186,0.03087
700.15979,0.48532
700.16772,0.67701
700.17565,0.72508
700.18358,3.03942
700.19151,0.10438
700.19944,0.07005
700.20737,1.20688
700.21530,1.49265
700.22323,1.47222
700.23116,1.90020
700.23909,2.83405
700.24702,1.01405
700.25495,0.11714
700.26288,0.36631
700.27081,0.31669
700.27874,1.20563
700.28667,0.27028
700.29460,0.96591
700.30253,2.46303
700.31046,0.17031
700.31839,0.31784
700.32632,0.72868
700.33425,0.44669
700.34218,1.42905
700.35011,1.69251
700.35804,0.94901
700.36597,0.08611
700.37390,2.29291
700.38183,3.52070
700.38976,1.30008
700.39769,0.16836
700.40562,0.16073
700.41355,0.71158
700.42148,0.95262
700.42941,1.83049
700.43734,1.24329
700.44527,2.38087
700.45320,1.14701
700.46113,0.52305
700.46906,0.78566
700.47699,2.28671
700.48492,0.27365
700.49285,0.05061
700.50078,0.58262
700.50871,0.25867
700.51664,0.96443
700.52457,0.71205
700.53250,0.11077
700.54043,0.21372
700.54837,0.53009
700.55630,0.11212
700.56423,0.13362
700.57216,0.61636
700.58009,0.31837
700.58802,1.02760
700.59595,0.09717
700.60388,0.92195
700.61181,0.84295
700.61974,0.33131
700.62767,0.05666
700.63560,0.04239
700.64353,0.13429
700.65146,0.37369
700.65939,0.04711
700.66732,1.71111
700.67525,0.59451
700.68318,0.47850
700.69111,1.70390
700.69904,0.82686
700.70697,0.80711
700.71490,1.34876
700.72283,0.04058
700.73076,0.22989
700.73869,3.17906
700.74662,1.26882
700.75455,3.03999
700.76248,0.05215
700.77041,2.34665
700.77834,1.61149
700.78627,0.15048
700.79420,0.26193
700.80213,0.04147
700.81006,0.48015
700.81799,0.00330
700.82592,0.79945
700.83385,0.79592
700.84178,1.06005
700.84971,1.59948
700.85764,1.20609
700.86557,0.05902
700.87350,0.08363
700.88143,0.62904
700.88936,1.01771
700.89729,0.01772
700.90522,1.07670
700.91315,0.04389
700.92108,0.70475
700.92901,0.92102
700.93694,2.33636
700.94487,1.30513
700.95280,0.94328
700.96073,0.07532
700.96866,0.76439
700.97659,0.28498
700.98452,0.05201
700.99245,0.78149
701.00038,0.28237
701.00831,0.58314
701.01624,1.88367
701.02417,0.51499
701.03210,0.77757
701.04003,0.04529
701.04796,1.17482
701.05589,0.94077
701.06382,0.09303
701.07175,0.33876
701.07968,1.34794
701.08761,3.64001
701.09554,2.74529
701.10347,0.03162
701.11140,0.42211
701.11933,0.13988
701.12726,0.14683
701.13519,0.53303
701.14312,0.61021
701.15105,0.01452
701.15898,0.13720
701.16691,1.74969
701.17484,0.72181
701.18277,0.85621
701.19070,1.48628
701.19863,2.27293
701.20656,1.12019
701.21449,0.75673
701.22242,1.00787
701.23035,2.83171
701.23828,0.90929
701.24622,0.39872
701.25415,0.39117
701.26208,0.99782
701.27001,0.61452
701.27794,1.24008
701.28587,0.13284
701.29380,0.19579
701.30173,0.04244
701.30966,0.41863
701.31759,0.79260
701.32552,0.25143
701.33345,0.84229
701.34138,2.80124
701.34931,0.75733
701.35724,2.83045
701.36517,1.16348
701.37310,0.58392
701.38103,0.10011
701.38896,0.21742
701.39689,0.76057
701.40482,0.48138
701.41275,0.74767
701.42068,5.37675
