star,l,fc
KIC10972873,0,783.7194
KIC10972873,0,840.5149
KIC10972873,0,897.7783
KIC10972873,0,956.2391
KIC10972873,0,1014.684
KIC10972873,0,1073.1607
KIC10972873,0,1131.1457
KIC10972873,0,1189.8285
KIC10972873,0,1249.1775
KIC10972873,0,1308.019
KIC10972873,1,769.6593
KIC10972873,1,814.742
KIC10972873,1,867.8103
KIC10972873,1,923.8049
KIC10972873,1,979.3236
KIC10972873,1,1027.5467
KIC10972873,1,1054.4932
KIC10972873,1,1101.828
KIC10972873,1,1158.679
KIC10972873,1,1216.9892
KIC10972873,1,1275.4579
KIC10972873,2,778.5331
KIC10972873,2,832.4579
KIC10972873,2,892.7506
KIC10972873,2,950.688
KIC10972873,2,1008.6333
KIC10972873,2,1067.7523
KIC10972873,2,1126.3162
KIC10972873,2,1184.674
KIC10972873,2,1243.6899
KIC10972873,2,1302.5313
